CndID,CndNme,OffNme,first_name,middle_name,last_name,suffix
136,DAVID A. DEWAR,For Alderman 19th Ward,David,A.,Dewar,
79,JEANETTE B TAYLOR,For Alderman 20th Ward,Jeanette,B,Taylor,
31,NICOLE J. JOHNSON,For Alderman 20th Ward,Nicole,J.,Johnson,
131,MAYA HODARI,For Alderman 20th Ward,Maya,,Hodari,
135,CHARLES HILLIARD,For Alderman 20th Ward,Charles,,Hilliard,
146,JENNIFER O. MADDOX,For Alderman 20th Ward,Jennifer,O.,Maddox,
196,ANDRE SMITH,For Alderman 20th Ward,Andre,,Smith,
194,DERNARD D. NEWELL,For Alderman 20th Ward,Dernard,D.,Newell,
211,QUANDRA V. SPEIGHTS,For Alderman 20th Ward,Quandra,V.,Speights,
183,KEVIN M. BAILEY,For Alderman 20th Ward,Kevin,M.,Bailey,
191,"ANTHONY DRIVER, JR.",For Alderman 20th Ward,Anthony,,Driver,Jr.
75,"HOWARD B. BROOKINS, JR.",For Alderman 21st Ward,Howard,B.,Brookins,Jr.
143,MARVIN MCNEIL,For Alderman 21st Ward,Marvin,,McNeil,
188,PATRICIA A. FOSTER,For Alderman 21st Ward,Patricia,A.,Foster,
235,"JOSEPH C. ZIEGLER, JR.",For Alderman 21st Ward,Joseph,C.,Ziegler,Jr.
109,MICHAEL D. RODRIGUEZ,For Alderman 22nd Ward,Michael,D.,Rodriguez,
60,"LISETTE ""LIZ"" LOPEZ",For Alderman 22nd Ward,Lisette,"""Liz""",Lopez,
95,RICHARD JUAREZ,For Alderman 22nd Ward,Richard,,Juarez,
101,NEFTALIE GONZALEZ,For Alderman 22nd Ward,Neftalie,,Gonzalez,
32,SILVANA TABARES,For Alderman 23rd Ward,Silvana,,Tabares,
120,"PAULINO R. VILLARREAL, JR.",For Alderman 23rd Ward,Paulino,R.,Villarreal,Jr.
5,CREATIVE SCOTT,For Alderman 24th Ward,Creative,,Scott,
41,"MICHAEL  SCOTT, JR.",For Alderman 24th Ward,Michael,,Scott,Jr.
147,TORIANO A. SANZONE,For Alderman 24th Ward,Toriano,A.,Sanzone,
192,(PAT) PATRICIA MARSHALL,For Alderman 24th Ward,Patricia,"""Pat""",Marshall,
199,"TRACI ""TREASURE"" JOHNSON",For Alderman 24th Ward,Traci,"""Treasure""",Johnson,
80,HILARIO DOMINGUEZ,For Alderman 25th Ward,Hilario,,Dominguez,
78,"ALEXANDER ""ALEX"" ACEVEDO",For Alderman 25th Ward,Alexander,"""Alex""",Acevedo,
73,TROY ANTONIO HERNANDEZ,For Alderman 25th Ward,Troy,Antonio,Hernandez,
68,BYRON SIGCHO-LOPEZ,For Alderman 25th Ward,Byron,,Sigcho-Lopez,
59,AIDA FLORES,For Alderman 25th Ward,Aida,,Flores,
107,THERESA SIAW,For Alderman 26th Ward,Theresa,,Siaw,
33,ROBERTO MALDONADO,For Alderman 26th Ward,Roberto,,Maldonado,
234,ANGEE GONZALEZ,For Alderman 26th Ward,Angee,,Gonzalez,
28,"WALTER BURNETT, JR.",For Alderman 27th Ward,Walter,,Burnett,Jr.
186,CYNTHIA D. BEDNARZ,For Alderman 27th Ward,Cynthia,D.,Bednarz,
46,MIGUEL BAUTISTA,For Alderman 28th Ward,Miguel,,Bautista,
70,JASON C. ERVIN,For Alderman 28th Ward,Jason,C.,Ervin,
128,JASMINE JACKSON,For Alderman 28th Ward,Jasmine,,Jackson,
204,BEVERLY MILES,For Alderman 28th Ward,Beverly,,Miles,
21,DWAYNE TRUSS,For Alderman 29th Ward,Dwayne,,Truss,
71,CHRIS TALIAFERRO,For Alderman 29th Ward,Chris,,Taliaferro,
201,ZERLINA A. SMITH,For Alderman 29th Ward,Zerlina,A.,Smith,
42,JESSICA W. GUTIERREZ,For Alderman 30th Ward,Jessica,W.,Gutierrez,
9,ARIEL E. REBOYRAS,For Alderman 30th Ward,Ariel,E.,Reboyras,
149,"EDGAR ""EDEK"" ESPARZA",For Alderman 30th Ward,Edgar,"""Edek""",Esparza,
108,COLIN BIRD-MARTINEZ,For Alderman 31st Ward,Colin,,Bird-Martinez,
57,"MILAGROS ""MILLY"" SANTIAGO",For Alderman 31st Ward,Milagros,"""Milly""",Santiago,
29,FELIX CARDONA JR.,For Alderman 31st Ward,Felix,,Cardona,Jr.
122,SCOTT WAGUESPACK,For Alderman 32nd Ward,Scott,,Waguespack,
94,KATIE SIERACKI,For Alderman 33rd Ward,Katie,,Sieracki,
23,ROSSANA RODRIGUEZ SANCHEZ,For Alderman 33rd Ward,Rossana,,Rodríguez-Sánchez,
27,DEBORAH L. MELL,For Alderman 33rd Ward,Deborah,L.,Mell,
3,CARRIE M. AUSTIN,For Alderman 34th Ward,Carrie,M.,Austin,
148,PRESTON BROWN JR,For Alderman 34th Ward,Preston,,Brown,Jr.
38,AMANDA YU DIETERICH,For Alderman 35th Ward,Amanda,,Yu Dieterich,
66,CARLOS  RAMIREZ-ROSA,For Alderman 35th Ward,Carlos,,Ramirez-Rosa,
61,GILBERT VILLEGAS,For Alderman 36th Ward,Gilbert,,Villegas,
6,EMMA M. MITTS,For Alderman 37th Ward,Emma,M.,Mitts,
184,TARA STAMPS,For Alderman 37th Ward,Tara,,Stamps,
207,DEONDRE RUTUES,For Alderman 37th Ward,Deondre,,Rutues,
115,NICHOLAS SPOSATO,For Alderman 38th Ward,Nicholas,,Sposato,
104,ROBERT MURPHY,For Alderman 39th Ward,Robert,,Murphy,
90,"SAMANTHA ""SAM"" NUGENT",For Alderman 39th Ward,Samantha,"""Sam""",Nugent,
233,CASEY SMAGALA,For Alderman 39th Ward,Casey,,Smagala,
181,JOE DUPLECHIN,For Alderman 39th Ward,Joe,,Duplechin,
106,UGO OKERE,For Alderman 40th Ward,Ugo,,Okere,
89,DIANNE DALEIDEN,For Alderman 40th Ward,Dianne,,Daleide,
96,ANDR√â VASQUEZ,For Alderman 40th Ward,Andre,,Vasquez,
43,PATRICK J. O'CONNOR,For Alderman 40th Ward,Patrick,J.,O'Connor,
130,MAGGIE O'KEEFE,For Alderman 40th Ward,Maggie,,O'Keefe,
50,TIM HENEGHAN,For Alderman 41st Ward,Tim,,Heneghan,
49,ANTHONY V. NAPOLITANO,For Alderman 41st Ward,Anthony,V.,Napolitano,
17,BRENDAN REILLY,For Alderman 42nd Ward,Brendan,,Reilly,
58,DEREK LINDBLOM,For Alderman 43rd Ward,Derek,,Lindblom,
56,MICHELE SMITH,For Alderman 43rd Ward,Michele,,Smith,
87,LESLIE FOX,For Alderman 43rd Ward,Leslie,,Fox,
116,JACOB RINGER,For Alderman 43rd Ward,Jacob,,Ringer,
237,STEVEN MCCLELLAN,For Alderman 43rd Ward,Steven,,McClellan,
173,REBECCA JANOWITZ,For Alderman 43rd Ward,Rebecca,,Janowitz,
26,TOM TUNNEY,For Alderman 44th Ward,Tom,,Tunney,
52,AUSTIN BAIDAS,For Alderman 44th Ward,Austin,,Baidas,
176,ELIZABETH SHYDLOWSKI,For Alderman 44th Ward,Elizabeth,,Shydlowski,
40,MARILYN MORALES,For Alderman 45th Ward,Marilyn,,Morales,
67,JOHN S. ARENA,For Alderman 45th Ward,John,S.,Arena,
34,"JAMES ""JIM"" GARDINER",For Alderman 45th Ward,James,"""Jim""",Gardiner,
180,ROBERT A. BANK,For Alderman 45th Ward,Robert,A.,Bank,
25,MARIANNE LALONDE,For Alderman 46th Ward,Marianne,,Lalonde,
47,ERIKA WOZNIAK FRANCIS,For Alderman 46th Ward,Erika,,Wozniak Francis,
91,JUSTIN KREINDLER,For Alderman 46th Ward,Justin,,Kreindler,
55,JAMES CAPPLEMAN,For Alderman 46th Ward,James,,Cappleman,
198,ANGELA CLAY,For Alderman 46th Ward,Angela,,Clay,
212,JON-ROBERT MCDOWELL,For Alderman 46th Ward,Jon-Robert,,McDowell,
86,EILEEN DORDEK,For Alderman 47th Ward,Eileen,,Dordek,
76,"ANGELA ""ANGIE"" MALONEY",For Alderman 47th Ward,Angela,"""Angie""",Maloney,
54,HEATHER WAY KITZES,For Alderman 47th Ward,Heather,Way,Kitzes,
53,MICHAEL A. NEGRON,For Alderman 47th Ward,Michael,A.,Negron,
82,MATT MARTIN,For Alderman 47th Ward,Matt,,Martin,
113,GUS KATSAFAROS,For Alderman 47th Ward,Gus,,Katsafaros,
117,THOMAS M. SCHWARTZERS,For Alderman 47th Ward,Thomas,M.,Schwartzers,
200,KIMBALL LADIEN,For Alderman 47th Ward,Kimball,,Ladien,
177,JEFF JENKINS,For Alderman 47th Ward,Jeff,,Jenkins,
100,HARRY OSTERMAN,For Alderman 48th Ward,Harry,,Osterman,
182,DAVID EARL WILLIAMS III,For Alderman 48th Ward,David,Earl,Williams,III
88,JOE MOORE,For Alderman 49th Ward,Joe,,Moore,
37,MARIA HADDEN,For Alderman 49th Ward,Maria,,Hadden,
62,DEBRA L. SILVERSTEIN,For Alderman 50th Ward,Debra,L.,Silverstein,
111,ANDREW D ROWLAS,For Alderman 50th Ward,Andrew,D.,Rowlas,
195,ZEHRA QUADRI,For Alderman 50th Ward,Zehra,,Quadri,
210,MAJID MUSTAFA,For Alderman 50th Ward,Majid,,Mustafa,
